Date,Location,Temperature,Rainfall,Humidity,Water_source_quality,Sanitation_facilities,Population_density,Access_to_healthcare,Previous_outbreak_history,Reported_cases
2025-03-20,Port Jasonhaven,23.2,12.3,84.6,Unsafe,Improved,1672,1.9,4,7
2024-05-12,South Kevin,26.5,0.8,83.5,Safe,Unimproved,7929,9.0,2,3
2024-04-23,North Danielstad,35.5,2.2,51.7,Safe,Unimproved,4001,16.5,1,8
2023-09-02,West Lori,23.5,11.1,75.0,Unsafe,Improved,2111,1.1,3,11
2025-03-02,Gwendolynland,34.7,50.1,82.4,Safe,Unimproved,6743,4.2,4,13
2025-03-12,Bowenville,29.3,37.1,89.8,Unsafe,Improved,9704,22.3,2,8
2023-11-19,West Breanna,32.2,48.8,62.7,Safe,Improved,2988,20.5,4,8
2024-03-05,Johnsonfurt,28.8,2.7,61.3,Unsafe,Improved,797,23.0,2,5
2023-05-13,Lake Amandafurt,32.0,3.0,52.4,Safe,Improved,1953,17.1,2,2
2023-06-12,Choiside,15.7,44.0,66.6,Safe,Unimproved,3068,27.1,3,8
2024-12-01,Michaelbury,26.8,18.7,89.0,Unsafe,Improved,5916,13.2,4,4
2024-03-05,Curtisberg,23.8,24.1,45.8,Unsafe,Unimproved,1703,20.9,2,10
2024-06-11,Robertmouth,25.5,27.2,66.8,Unsafe,Improved,7709,8.7,0,3
2024-05-05,West Jennifermouth,33.8,12.8,85.1,Safe,Unimproved,9747,28.1,2,5
2024-06-13,Lake Ericborough,24.4,17.8,79.1,Safe,Improved,6029,14.9,4,1
2025-01-07,Loriton,17.4,1.7,75.6,Safe,Improved,992,22.5,2,0
2024-05-17,Coleberg,20.4,11.2,65.6,Unsafe,Improved,6848,12.9,4,9
2024-02-01,Candiceport,23.2,2.5,42.5,Unsafe,Unimproved,5165,5.7,0,9
2024-09-08,West Martintown,20.6,10.7,51.6,Unsafe,Unimproved,1799,5.2,4,9
2024-02-08,East Michaelchester,28.1,26.1,42.4,Safe,Unimproved,6335,8.1,1,6
2025-03-21,South Jenniferland,23.7,32.6,52.1,Safe,Improved,5920,20.7,0,0
2023-07-29,Lake Michaelport,26.0,23.4,41.4,Unsafe,Improved,4105,11.2,2,10
2023-12-02,Mackfurt,21.8,14.1,66.2,Unsafe,Unimproved,8472,8.1,0,8
2023-11-25,Lake Matthew,25.3,10.5,56.9,Unsafe,Unimproved,9109,1.4,2,12
2025-03-30,Levyville,38.8,29.1,48.8,Safe,Unimproved,8873,22.0,3,6
2025-02-21,Port Dakotaville,22.9,6.8,65.0,Safe,Improved,2116,20.7,3,5
2023-12-26,Margarethaven,31.6,0.9,50.2,Unsafe,Improved,5196,29.9,0,0
2023-08-17,Rogersstad,23.8,15.0,52.2,Unsafe,Unimproved,5819,6.8,2,9
2025-01-03,Lake Nicholas,25.6,41.4,72.1,Unsafe,Unimproved,5980,22.4,2,11
2023-06-21,North Jose,35.4,32.6,82.0,Unsafe,Unimproved,3336,17.2,2,12
2025-03-14,Longville,27.1,12.3,72.8,Safe,Unimproved,6502,22.0,4,5
2024-10-24,West Adam,22.6,25.0,55.0,Unsafe,Improved,3576,28.5,4,6
2025-01-12,North Elizabethside,25.0,11.7,70.7,Safe,Unimproved,4004,18.6,0,2
2024-09-27,Kyleside,23.6,2.5,67.0,Safe,Improved,3019,1.4,4,4
2023-05-15,Hopkinshaven,33.2,15.6,68.6,Safe,Improved,646,19.1,1,4
2023-12-11,Lake Elizabethstad,27.9,30.9,89.8,Safe,Improved,3194,21.1,3,4
2024-01-31,Kleinport,28.8,2.8,65.1,Safe,Unimproved,8472,21.1,0,5
2024-05-08,Jacksonchester,27.1,5.1,61.4,Safe,Improved,4963,20.0,0,0
2023-12-01,Josephland,31.5,72.2,40.4,Unsafe,Unimproved,9764,27.9,3,15
2023-08-09,East Jared,25.4,1.5,79.4,Safe,Improved,137,12.3,1,2
2023-12-10,Wrightstad,27.8,21.7,76.8,Safe,Improved,5242,12.6,0,0
2023-05-16,Colleentown,17.7,7.4,84.6,Safe,Unimproved,7795,27.9,2,3
2024-06-07,South Bethport,28.1,2.7,72.1,Safe,Improved,1917,3.9,0,0
2025-04-15,South Joshuaburgh,28.3,12.5,40.6,Unsafe,Improved,7406,29.0,3,6
2025-05-11,Andrewstown,31.3,6.2,87.2,Unsafe,Unimproved,6272,16.8,2,8
2024-12-31,Garciamouth,22.8,22.5,82.7,Safe,Improved,7994,13.4,4,6
2025-02-14,Stevenfort,32.0,51.6,83.7,Safe,Unimproved,6760,2.2,3,10
2024-12-03,West Michaelshire,23.6,35.8,46.6,Safe,Improved,8308,1.2,4,4
2023-09-02,Blairport,21.9,7.2,55.7,Unsafe,Improved,8277,14.2,3,12
2025-03-11,New Gregg,33.9,7.4,76.9,Safe,Improved,1236,12.2,3,9
2024-10-25,Mezachester,29.2,0.4,82.6,Unsafe,Unimproved,1046,7.2,0,5
2024-12-17,South Spencerton,29.6,18.1,47.7,Safe,Unimproved,6297,13.1,2,6
2024-11-05,East Diana,32.1,0.2,83.4,Unsafe,Improved,9242,28.7,4,6
2024-05-19,Port Antoniofort,26.3,26.2,75.3,Unsafe,Improved,8234,21.5,1,7
2023-06-20,Port Thomas,32.1,20.2,78.5,Safe,Improved,5780,22.3,0,1
2024-02-02,North Shaneton,35.0,8.9,45.3,Safe,Unimproved,2513,24.0,1,8
2023-09-15,Port Jessica,32.2,64.7,47.0,Unsafe,Unimproved,3138,17.5,1,13
2024-06-11,East Patriciaborough,34.5,51.6,76.8,Safe,Improved,3039,27.6,0,5
2024-12-04,Zavalabury,21.9,17.7,53.0,Unsafe,Unimproved,8979,14.7,4,10
2025-01-10,Samanthamouth,30.7,17.4,42.9,Safe,Unimproved,7122,9.1,3,10
2024-01-02,Meltontown,37.0,8.2,53.9,Safe,Unimproved,5043,6.6,2,9
2024-11-15,Jeremyfort,23.1,18.5,48.2,Unsafe,Improved,8221,29.9,0,4
2025-05-04,Lake Robertshire,37.9,34.4,84.5,Safe,Improved,6692,24.9,4,6
2023-07-03,West Thomas,25.3,7.0,43.8,Safe,Unimproved,4902,16.4,0,2
2023-07-30,Josefurt,27.2,6.7,79.8,Safe,Unimproved,6027,26.7,4,6
2024-05-25,Herringhaven,22.3,4.4,48.8,Safe,Improved,7012,16.4,3,3
2024-06-06,East Benjaminhaven,20.9,2.1,56.0,Unsafe,Unimproved,7214,25.1,3,5
2025-03-12,West Brianland,36.0,16.1,46.4,Safe,Unimproved,4682,11.9,4,9
2025-02-24,Wallshire,33.7,15.8,87.3,Unsafe,Improved,2328,20.4,2,3
2023-11-26,North Joshua,23.0,31.3,64.5,Safe,Improved,883,10.4,0,0
2024-06-17,Josephland,22.9,4.7,56.4,Safe,Unimproved,5542,2.1,1,4
2024-12-22,Garciatown,19.7,58.7,66.4,Safe,Improved,2659,17.4,4,8
2024-08-30,North Jenniferborough,22.7,21.0,79.9,Unsafe,Unimproved,6167,25.4,1,11
2023-08-23,Meredithbury,29.9,19.6,42.7,Safe,Unimproved,3806,29.0,0,4
2024-09-27,South Cynthiamouth,31.7,20.8,87.1,Unsafe,Improved,4273,7.3,0,7
2023-06-06,Gabrielleview,27.8,11.3,58.9,Safe,Improved,6136,9.8,0,0
